NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-155,,
ALUNO-156,4,Fase 4 (9º ano)
ALUNO-157,,
ALUNO-158,4,Fase 6 (2º EM)
ALUNO-159,0,Fase 2 (5º e 6º ano)
ALUNO-160,,
ALUNO-161,,
ALUNO-162,,
ALUNO-163,,
ALUNO-164,2,Fase 3 (7º e 8º ano)
ALUNO-165,1,Fase 3 (7º e 8º ano)
ALUNO-166,1,Fase 2 (5º e 6º ano)
ALUNO-167,2,Fase 2 (5º e 6º ano)
ALUNO-168,2,Fase 3 (7º e 8º ano)
ALUNO-169,0,Fase 2 (5º e 6º ano)
ALUNO-170,1,Fase 3 (7º e 8º ano)
ALUNO-171,4,Fase 5 (1º EM)
ALUNO-172,1,Fase 2 (5º e 6º ano)
ALUNO-173,,
ALUNO-174,,
ALUNO-175,4,Fase 4 (9º ano)
ALUNO-176,3,Fase 4 (9º ano)
ALUNO-177,0,ALFA  (2º e 3º ano)
ALUNO-178,0,ALFA  (2º e 3º ano)
ALUNO-179,2,Fase 3 (7º e 8º ano)
ALUNO-180,0,Fase 1 (4º ano)
ALUNO-181,0,Fase 1 (4º ano)
ALUNO-182,0,ALFA  (2º e 3º ano)
ALUNO-183,,
ALUNO-184,,
ALUNO-185,0,Fase 1 (4º ano)
ALUNO-186,,
ALUNO-187,,
ALUNO-188,,
ALUNO-189,,
ALUNO-190,,
ALUNO-191,1,Fase 2 (5º e 6º ano)
ALUNO-192,2,Fase 3 (7º e 8º ano)
ALUNO-193,4,Fase 5 (1º EM)
ALUNO-194,,
ALUNO-195,2,Fase 3 (7º e 8º ano)
ALUNO-196,3,Fase 5 (1º EM)
ALUNO-197,4,Fase 4 (9º ano)
ALUNO-198,,
ALUNO-199,,
ALUNO-200,4,Fase 5 (1º EM)
ALUNO-201,5,Fase 6 (2º EM)
ALUNO-202,,
ALUNO-203,2,Fase 2 (5º e 6º ano)
ALUNO-204,1,Fase 2 (5º e 6º ano)
ALUNO-205,0,Fase 1 (4º ano)
ALUNO-206,,
ALUNO-207,3,Fase 5 (1º EM)
ALUNO-208,,
ALUNO-209,,
ALUNO-210,,
ALUNO-211,1,Fase 2 (5º e 6º ano)
ALUNO-212,0,Fase 2 (5º e 6º ano)
ALUNO-213,,
ALUNO-214,2,Fase 4 (9º ano)
ALUNO-215,,
ALUNO-216,,
